"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-01,321,monthly,250824,357015,301556,292266,246681,2005-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-02,311,monthly,248186,352082,298914,289586,244041,2005-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-03,362,monthly,247131,351980,298447,288992,242930,2005-03-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-04,389,monthly,251950,357797,304941,295056,247618,2005-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-05,393,monthly,249782,355318,301310,292164,245532,2005-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-06,398,monthly,249576,353050,300343,292510,245272,2005-06-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-07,497,monthly,240730,340583,289688,282754,236513,2005-07-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-08,421,monthly,242912,344683,292199,286027,238580,2005-08-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-09,438,monthly,242198,345531,291898,285992,237787,2005-09-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-10,453,monthly,243981,348401,293476,288166,239533,2005-10-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-11,405,monthly,248512,354138,299413,293872,243941,2005-11-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2005-12,412,monthly,256384,362428,306625,301813,251833,2005-12-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-01,368,monthly,259211,366789,310447,305700,254547,2006-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-02,325,monthly,255656,360334,305396,301289,251077,2006-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-03,435,monthly,251002,357261,302979,298067,246247,2006-03-01
