"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-06,258,monthly,493585,957364,728841,563904,379910,2022-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-07,290,monthly,508719,985528,752419,582052,390550,2022-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-08,277,monthly,520143,1007422,769587,596563,397884,2022-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-09,269,monthly,522556,1013834,774550,600522,398335,2022-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-10,283,monthly,521647,1014536,772940,600121,397025,2022-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-11,331,monthly,517464,1007689,766551,595718,393460,2022-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-12,241,monthly,515770,1003787,763012,593705,392395,2022-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-01,203,monthly,511506,997252,759657,588098,389360,2023-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-02,199,monthly,509703,996101,757518,583986,389539,2023-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-03,226,monthly,501392,985338,748590,572580,384076,2023-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-04,125,monthly,504511,993431,752692,575487,386986,2023-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-05,147,monthly,497681,976523,741789,567471,382053,2023-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-06,190,monthly,499460,975800,742003,570804,382812,2023-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-07,200,monthly,493468,959966,732621,565158,377456,2023-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-08,228,monthly,501408,976530,745742,576316,381832,2023-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-09,221,monthly,504878,984103,752010,581110,383739,2023-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-10,217,monthly,506271,985990,753331,581612,385708,2023-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-11,188,monthly,500599,977303,746212,573942,382036,2023-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2023-12,188,monthly,496778,969668,740089,569079,379528,2023-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-01,152,monthly,501353,978909,746866,575262,382331,2024-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-02,193,monthly,501137,976276,745251,575172,382184,2024-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-03,166,monthly,499866,970669,741585,572517,382184,2024-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-04,214,monthly,493286,955037,731119,564300,377688,2024-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-05,209,monthly,493781,950496,728894,564180,378894,2024-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-06,221,monthly,487659,938217,719585,558645,373317,2024-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-07,260,monthly,486488,936597,718742,559315,371068,2024-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-08,280,monthly,494873,955496,732297,571428,375759,2024-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-09,211,monthly,509192,988405,756482,588644,385813,2024-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-10,312,monthly,513470,999386,762053,592690,389669,2024-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-11,287,monthly,507633,992401,754713,585510,385317,2024-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2024-12,227,monthly,509168,999791,756430,587476,386382,2024-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-01,219,monthly,512984,1009652,763653,593083,388338,2025-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-02,261,monthly,512103,1006135,762074,592877,387221,2025-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-03,603,monthly,512049,989182,755444,592134,388585,2025-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-04,85,monthly,506926,988819,755763,586424,383677,2025-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-05,149,monthly,508698,996908,762516,589033,384158,2025-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-06,201,monthly,510468,1015169,773855,593770,382515,2025-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-07,220,monthly,515485,1016461,775960,600327,386377,2025-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-08,263,monthly,528499,1040195,796133,618041,394280,2025-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-09,191,monthly,532059,1049068,805059,623723,395497,2025-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-10,254,monthly,536162,1059796,813038,630473,396979,2025-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-11,233,monthly,529286,1047568,801736,622896,391605,2025-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2025-12,189,monthly,522634,1033112,789472,614645,387206,2025-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2026-01,142,monthly,520109,1027565,787272,613477,383937,2026-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2026-02,139,monthly,525350,1039839,795817,618711,388322,2026-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2026-03,,monthly,526349,1042467,798752,622304,387274,2026-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2026-04,,monthly,524099,1039515,793827,617610,387085,2026-04-01
